# z=70.0
# H0:67.4 omega_m:0.314885968880016 omega_b:0.049309230511847414 omega_nu:0.0014201463404145906 w:-1.0 wa:0.0 sigma8(z=0):0.03365144806932789
# koh d_cdm d_b d_gamma d_neutrino d_nu d_tot d_nonu d_tot_de Weyl v_newt_cdm v_newt_b v_b_cdm
9.625112e-02 5.118407e+04 3.777834e+04 2.556024e+01 2.553651e+01 1.491970e+02 4.880803e+04 4.907530e+04 4.880849e+04 -8.281422e-02 4.858499e+04 4.688636e+04 2.809609e+01
1.016334e-01 4.763593e+04 3.444173e+04 2.127065e+01 2.125093e+01 1.294912e+02 4.531226e+04 4.556044e+04 4.531264e+04 -7.688253e-02 4.511773e+04 4.345373e+04 2.606549e+01
1.070158e-01 4.468922e+04 3.242874e+04 1.801457e+01 1.799785e+01 1.061340e+02 4.252759e+04 4.276061e+04 4.252791e+04 -7.215746e-02 4.233541e+04 4.084238e+04 2.221129e+01
1.123981e-01 4.227824e+04 3.146992e+04 1.551787e+01 1.550343e+01 9.694524e+01 4.035691e+04 4.057805e+04 4.035719e+04 -6.847419e-02 4.014886e+04 3.891397e+04 1.749115e+01
1.177804e-01 4.025739e+04 3.109739e+04 1.354238e+01 1.352973e+01 8.470081e+01 3.860491e+04 3.881649e+04 3.860515e+04 -6.550135e-02 3.837346e+04 3.741827e+04 1.291125e+01
1.231628e-01 3.846158e+04 3.081271e+04 1.190737e+01 1.189622e+01 7.416589e+01 3.705526e+04 3.725839e+04 3.705547e+04 -6.287189e-02 3.680355e+04 3.608770e+04 9.253384e+00
1.285451e-01 3.675695e+04 3.022875e+04 1.049466e+01 1.048481e+01 6.470170e+01 3.553521e+04 3.573004e+04 3.553539e+04 -6.029268e-02 3.527447e+04 3.471515e+04 6.927284e+00
1.339274e-01 3.506273e+04 2.914562e+04 9.238996e+00 9.230317e+00 5.652786e+01 3.394581e+04 3.413195e+04 3.394597e+04 -5.759585e-02 3.369093e+04 3.319025e+04 5.951621e+00
1.393097e-01 3.335312e+04 2.756223e+04 8.112491e+00 8.104879e+00 5.088885e+01 3.226524e+04 3.244219e+04 3.226539e+04 -5.474436e-02 3.203000e+04 3.150188e+04 6.035378e+00
1.446921e-01 3.164328e+04 2.563290e+04 7.108080e+00 7.101425e+00 4.434819e+01 3.053037e+04 3.069783e+04 3.053050e+04 -5.180077e-02 3.032377e+04 2.971331e+04 6.716792e+00
1.500744e-01 2.997228e+04 2.359583e+04 6.226645e+00 6.220830e+00 3.876444e+01 2.881120e+04 2.896924e+04 2.881131e+04 -4.888381e-02 2.863546e+04 2.792726e+04 7.512788e+00
1.554567e-01 2.839479e+04 2.170413e+04 5.469979e+00 5.464884e+00 3.472874e+01 2.719315e+04 2.734232e+04 2.719324e+04 -4.613843e-02 2.704411e+04 2.625909e+04 8.039335e+00
1.608391e-01 2.696970e+04 2.016406e+04 4.836169e+00 4.831671e+00 3.116560e+01 2.575783e+04 2.589915e+04 2.575792e+04 -4.370311e-02 2.562718e+04 2.481079e+04 8.080845e+00
1.662214e-01 2.573379e+04 1.907953e+04 4.315200e+00 4.311189e+00 2.709313e+01 2.455234e+04 2.468705e+04 2.455241e+04 -4.165772e-02 2.443035e+04 2.363638e+04 7.604465e+00
1.716037e-01 2.468203e+04 1.842847e+04 3.888341e+00 3.884723e+00 2.442268e+01 2.356899e+04 2.369832e+04 2.356906e+04 -3.998926e-02 2.344687e+04 2.272177e+04 6.727037e+00
1.769861e-01 2.377702e+04 1.809098e+04 3.532969e+00 3.529676e+00 2.192076e+01 2.275770e+04 2.288259e+04 2.275777e+04 -3.861272e-02 2.262947e+04 2.200117e+04 5.651690e+00
1.823684e-01 2.297351e+04 1.790613e+04 3.228512e+00 3.225495e+00 1.969488e+01 2.205536e+04 2.217639e+04 2.205541e+04 -3.742102e-02 2.191900e+04 2.139242e+04 4.596904e+00
1.877507e-01 2.222816e+04 1.771699e+04 2.958672e+00 2.955903e+00 1.792655e+01 2.140108e+04 2.151854e+04 2.140113e+04 -3.631090e-02 2.125848e+04 2.081761e+04 3.738328e+00
1.931330e-01 2.150044e+04 1.740019e+04 2.711602e+00 2.709061e+00 1.663405e+01 2.074162e+04 2.085545e+04 2.074166e+04 -3.519197e-02 2.059719e+04 2.021213e+04 3.174144e+00
1.985154e-01 2.076102e+04 1.689060e+04 2.480377e+00 2.478053e+00 1.536305e+01 2.004219e+04 2.015219e+04 2.004223e+04 -3.400524e-02 1.990122e+04 1.953759e+04 2.916202e+00
2.038977e-01 2.000279e+04 1.619423e+04 2.263115e+00 2.260995e+00 1.391681e+01 1.929777e+04 1.940369e+04 1.929781e+04 -3.274219e-02 1.916497e+04 1.879305e+04 2.903921e+00
2.092800e-01 1.923903e+04 1.537530e+04 2.061311e+00 2.059382e+00 1.250351e+01 1.852954e+04 1.863125e+04 1.852958e+04 -3.143874e-02 1.840796e+04 1.800917e+04 3.033673e+00
2.146624e-01 1.849149e+04 1.452545e+04 1.877389e+00 1.875636e+00 1.136923e+01 1.777007e+04 1.786762e+04 1.777011e+04 -3.015015e-02 1.766049e+04 1.722997e+04 3.192947e+00
2.200447e-01 1.778177e+04 1.373461e+04 1.713147e+00 1.711549e+00 1.061796e+01 1.705153e+04 1.714514e+04 1.705156e+04 -2.893101e-02 1.695248e+04 1.649785e+04 3.289263e+00
2.254270e-01 1.712774e+04 1.307084e+04 1.569156e+00 1.567693e+00 9.902946e+00 1.639955e+04 1.648957e+04 1.639958e+04 -2.782479e-02 1.630803e+04 1.584528e+04 3.268031e+00
2.308094e-01 1.653970e+04 1.256699e+04 1.444493e+00 1.443147e+00 9.151291e+00 1.582789e+04 1.591478e+04 1.582792e+04 -2.685486e-02 1.574038e+04 1.528837e+04 3.117796e+00
2.361917e-01 1.601730e+04 1.221654e+04 1.336814e+00 1.335568e+00 8.269482e+00 1.533524e+04 1.541943e+04 1.533527e+04 -2.601899e-02 1.524860e+04 1.482368e+04 2.864123e+00
2.415740e-01 1.555092e+04 1.198135e+04 1.242908e+00 1.241749e+00 7.636532e+00 1.490757e+04 1.498941e+04 1.490759e+04 -2.529336e-02 1.481969e+04 1.443191e+04 2.555588e+00
2.469563e-01 1.512544e+04 1.180622e+04 1.159394e+00 1.158311e+00 7.132957e+00 1.452358e+04 1.460332e+04 1.452360e+04 -2.464185e-02 1.443373e+04 1.408518e+04 2.246956e+00
2.523387e-01 1.472337e+04 1.163400e+04 1.083223e+00 1.082210e+00 6.783707e+00 1.415966e+04 1.423740e+04 1.415968e+04 -2.402439e-02 1.406839e+04 1.375386e+04 1.984396e+00
2.577210e-01 1.432855e+04 1.141911e+04 1.012072e+00 1.011125e+00 6.316429e+00 1.379515e+04 1.387088e+04 1.379516e+04 -2.340592e-02 1.370392e+04 1.341321e+04 1.795822e+00
